Job Title,Organization,City,Area / Town,Vacancy Location,Category / Sector,Job Type,Education,Min Experience (Years),Gender,No. of Positions,Positions Open Ended,Salary Min (PKR),Salary Max (PKR),Salary Avg (PKR),Date Posted,Expected Last Date,Days Available,Posting Month,Posting Year,Posting Weekday,Newspaper,Apply Online,Job Link,Description
Social Media Marketing Expert & Web Developer Jobs 2026,It Company,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate,,Not Specified,,False,,,,2026-01-22,2026-02-07,16.0,January,2026,Thursday,Jang Jobs,Upload CV,https://www.jobz.pk/social-media-marketing-expert-web-developer-jobs-2026_jobs-735097.html,"Latest IT Company IT Posts Karachi 2026Vacant posts including web development staff and social media marketing expert are announced in IT Company Karachi, karachi Sindh Pakistan as per 22 January 2026 advertisement in daily Jang Newspaper. Intermediate etc. educational qualification will be preferred.Apply at IT Company latest Classifieds jobs in IT and departments before closing date which is around February 7, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Post Box No 95 GPO Rawalpindi Jobs for Software Engineer,Public Sector Organization,Rawalpindi,Rawalpindi Other Area Jobs,"Rawalpindi, Punjab, Pakistan",Government,Full Time,Bachelor|BCS|MCS|B.E|Others|BS,,Not Specified,,False,,,,2026-01-22,2026-02-04,13.0,January,2026,Thursday,Express Jobs,Upload CV,https://www.jobz.pk/post-box-no-95-gpo-rawalpindi-jobs-for-software-engineer_jobs-734935.html,"Latest Public Sector Organization IT Posts Rawalpindi 2026Public Sector Organization Rawalpindi, rawalpindi Punjab Pakistan invites applications from eligible candidates for the post of manager gpon noc, field engineer and software engineer as per advertisement of January 22, 2026 published in daily Express Newspaper. Candidates with Others, B.E, BCS, MCS and Bachelor etc. educational background will be preferred.Public Sector Organization latest Government IT jobs and others can be applied till February 4, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Public Sector Organization job opportunities.For more jobsregisterwithJobz.pk."
M/O Information Technology & Telecommunication Jobs 2026,Ministry Of Information Technology & Telecommunication Moit,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-01-16,2026-01-31,15.0,January,2026,Friday,The News Jobs,Upload CV,https://www.jobz.pk/mo-information-technology-telecommunication-jobs-2026_jobs-733794.html,"Latest Ministry of Information Technology & Telecommunication MOIT IT Posts Islamabad 2026Ministry of Information Technology & Telecommunication MOIT jobs advertisement dated about 16 January 2026 in daily The News Newspaper invites application for the vacant post of facility specialist, specialist and hr admin specialist in Islamabad, islamabad Islamabad Pakistan. Preferred Education is Bachelor, Master and MS etc.Ministry of Information Technology & Telecommunication MOIT latest Government IT jobs and others can be applied till January 31, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Ministry of Information Technology & Telecommunication MOIT job opportunities.For more jobsregisterwithJobz.pk."
Latest Ministry of IT & Telecommunication Islamabad Jobs,Ministry Of Information Technology & Telecommunication Moit,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-01-16,2026-01-31,15.0,January,2026,Friday,Ausaf Jobs,Upload CV,https://www.jobz.pk/latest-ministry-of-it-telecommunication-islamabad-jobs_jobs-733711.html,"Latest Ministry of Information Technology & Telecommunication MOIT IT Posts Islamabad 2026Ministry of Information Technology & Telecommunication MOIT invites applications for job positions advertised in daily Ausaf dated 16 January 2026 for following vacancies in Islamabad, islamabad Islamabad Pakistan.facility specialistspecialist and hr admin specialistEducational qualifications required Master, Bachelor and MS etc.Ministry of Information Technology & Telecommunication MOIT latest Government IT jobs and others can be applied till January 31, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Ministry of Information Technology & Telecommunication MOIT job opportunities.For more jobsregisterwithJobz.pk."
Latest PAF R&D Rawalpindi Jobs 2026,Paf,Rawalpindi,Rawalpindi Other Area Jobs,"Rawalpindi, Punjab, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2026-01-15,2026-01-30,15.0,January,2026,Thursday,Other Jobs,Upload CV,https://www.jobz.pk/latest-paf-rd-rawalpindi-jobs-2026_jobs-733619.html,"Latest PAF IT Posts Rawalpindi 2026PAF is looking for candidates for following posts as per job advertisement published in daily Other Newspaper of January 15, 2026 for location Rawalpindi, rawalpindi Punjab Pakistan:computer vision developersoftware developerdrone designerminiature drone integratorminiature drone developer and optical system developerEducational qualifications required Master, Bachelor and MS etc.Latest IT jobs and others Government jobs in PAF closing date is around January 30, 2026, see exact from ad. Read complete ad online to know how to apply onlatest PAF job opportunities.For more jobsregisterwithJobz.pk."
PAF R&D Setups Rawalpindi Jobs 2026,Paf,Rawalpindi,Rawalpindi Other Area Jobs,"Rawalpindi, Punjab, Pakistan",Government,Full Time,Bachelor|Master|BIT|MIT|MS|BS,,Not Specified,,False,,,,2026-01-15,2026-01-30,15.0,January,2026,Thursday,Express Jobs,Upload CV,https://www.jobz.pk/paf-rd-setups-rawalpindi-jobs-2026_jobs-733559.html,"Latest PAF IT Posts Rawalpindi 2026Vacant posts including drone designer, miniature drone developer, optical system developer, miniature drone integrator, software developer and computer vision developer are announced in PAF Rawalpindi, rawalpindi Punjab Pakistan as per 15 January 2026 advertisement in daily Express Newspaper. MIT, Bachelor, Master, BIT and MS etc. educational qualification will be preferred.PAF latest Government IT jobs and others can be applied till January 30, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest PAF job opportunities.For more jobsregisterwithJobz.pk."
Jang Sunday Classified Ads 11 Jan 2026 for IT Staff,It Company,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Classifieds,Full Time,Bachelor,,Not Specified,,False,,,,2026-01-12,2026-01-27,15.0,January,2026,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-11-jan-2026-for-it-staff_jobs-732975.html,"Latest IT Company IT Posts Islamabad 2026IT Company is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of January 12, 2026 for location Islamabad, islamabad Islamabad Pakistan:cyber security engineerEducational qualifications required Bachelor etc.Latest IT jobs and others Classifieds jobs in IT Company closing date is around January 27, 2026, see exact from ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Python and Linux skills may beneficial for these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredLinuxPython"
Sindh IT Company Jobs for Chief Information Security Officer,Sindh It Company Sitc,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Private,Full Time,Bachelor|Master,,Not Specified,,False,,,,2026-01-10,2026-01-23,13.0,January,2026,Saturday,Express Jobs,Upload CV,https://www.jobz.pk/sindh-it-company-jobs-for-chief-information-security-officer_jobs-732518.html,"Latest Sindh IT Company SITC IT Posts Karachi 2026Vacant posts including chief information security officer are announced in Sindh IT Company SITC Karachi, karachi Sindh Pakistan as per 10 January 2026 advertisement in daily Express Newspaper. Persons with Master and Bachelor etc. education can apply.Sindh IT Company SITC latest Private IT jobs and others can be applied till 23 January 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Sindh IT Company SITC job opportunities.For more jobsregisterwithJobz.pk."
Sindh IT Company SITC Jobs 2026,Sindh It Company Sitc,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Private,Full Time,Bachelor|Master,,Not Specified,,False,,,,2026-01-09,2026-01-23,14.0,January,2026,Friday,Not Mentioned,Upload CV,https://www.jobz.pk/sindh-it-company-sitc-jobs-2026_jobs-732424.html,"Latest Sindh IT Company SITC IT Posts Karachi 2026Sindh IT Company SITC is looking for candidates for following posts as per job advertisement published in daily Express Tribune Newspaper of January 9, 2026 for location Karachi, karachi Sindh Pakistan:chief information security officerPersons with Master and Bachelor etc. education can apply.Sindh IT Company SITC latest Private IT jobs and others can be applied till 23 January 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Sindh IT Company SITC job opportunities.For more jobsregisterwithJobz.pk."
DHA Karachi Jobs 2026 for Assistant Director Network,Defence Housing Authority Dha,Karachi,DHA Phase 1 Jobs,"Karachi, Sindh, Pakistan",Government,Full Time,Intermediate|Bachelor|BCS|BIT|MS|Others|BS,,Not Specified,,False,,,,2026-01-03,2026-01-12,9.0,January,2026,Saturday,Nawaiwaqt Jobs,Upload CV,https://www.jobz.pk/dha-karachi-jobs-2026-for-assistant-director-network_jobs-731289.html,"Latest Defence Housing Authority DHA IT Posts Karachi 2026Defence Housing Authority DHA jobs advertisement dated about 3 January 2026 in daily Nawaiwaqt Newspaper invites application for the vacant post of desktop support technician, assistant director, assistant technician, assistant director network, network technician and computer programmer functional in DHA Phase 1 Karachi, karachi Sindh Pakistan. Persons with BIT, BCS, Bachelor, Intermediate, MS and Others etc. education can apply.Defence Housing Authority DHA latest Government IT jobs and others can be applied till 12 January 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Defence Housing Authority DHA job opportunities.For more jobsregisterwithJobz.pk."
SEO Expert,Umar Abdullah Technical Services,Multan,Gulgasht Colony Jobs,"Multan, Punjab, Pakistan",Direct Office Jobs,Full Time,Not Mentioned,,Not Specified,1.0,False,20000.0,60000.0,40000.0,2026-01-02,2026-05-05,,January,2026,Friday,Not Mentioned,Upload CV,https://www.jobz.pk/seo-expert_jobs-731203.html,"Latest UMAR ABDULLAH TECHNICAL SERVICES IT Posts Multan 2026Experience Required: 6 Months to 2 YearsKey Responsibilities:Perform On-Page and Off-Page SEO to improve rankings and visibility.Conduct keyword research and competitor analysis to identify growth opportunities.Manage and monitor websites using Google Search Console and Google Analytics.Work with SEO tools like Ahrefs, SEMrush, and others to track performance.Develop and implement link-building strategies.Optimize content to improve search engine performance and user engagement.Prepare and analyze performance reports to guide strategy.Required Skills:Strong knowledge of SEO fundamentals.Expertise in Technical SEO.Strong analytical and research skills.Proficiency in link building and outreach.Experience in content optimization.Benefits:Growth-focused environment with practical exposure.Opportunity to work with an experienced digital marketing team.For more jobsregisterwithJobz.pk."
Jang Sunday Classified Ads 28 Dec 2025 for Computer Staff,It Company,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|Others|BS,,Not Specified,,False,,,,2025-12-29,2026-01-13,15.0,December,2025,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-28-dec-2025-for-computer-staff_jobs-730592.html,"Latest IT Company IT Posts Karachi 2026IT Company is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of December 29, 2025 for location Karachi, karachi Sindh Pakistan:social media promotergraphic designertypist and page makerEducational qualifications required Bachelor, Others and Intermediate etc.Latest IT jobs and others Classifieds jobs in IT Company closing date is around January 13, 2026, see exact from ad. Read complete ad online to know how to apply onlatest IT Company job opportunities.For more jobsregisterwithJobz.pk."
Dawn Sunday Classified Ads 28 Dec 2025 for IT Staff,Massif International,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Classifieds,Full Time,Bachelor|BCS|BIT,,Not Specified,,False,,,,2025-12-29,2026-01-13,15.0,December,2025,Monday,Dawn Jobs,Upload CV,https://www.jobz.pk/dawn-sunday-classified-ads-28-dec-2025-for-it-staff_jobs-730429.html,"Latest Massif International IT Posts Islamabad 2026Vacant posts including it executive are announced in Massif International Islamabad, islamabad Islamabad Pakistan as per 29 December 2025 advertisement in daily Dawn Newspaper. Educational qualifications required BIT, BCS and Bachelor etc.Apply at Massif International latest Classifieds jobs in IT and departments before closing date which is around January 13, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Massif International job opportunities.For more jobsregisterwithJobz.pk."
Latest Science & Information Technology Department Job,Science & Information Technology Department,Peshawar,Peshawar Other Area Jobs,"Peshawar, Khyber Pakhtunkhwa KPK, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2025-12-23,2026-01-10,18.0,December,2025,Tuesday,Mashriq Jobs,Upload CV,https://www.jobz.pk/latest-science-information-technology-department-job_jobs-729131.html,"Latest Science & Information Technology Department IT Posts Peshawar 2026Science & Information Technology Department is looking for candidates for following posts as per job advertisement published in daily Mashriq Newspaper of December 23, 2025 for location Peshawar, peshawar Khyber Pakhtunkhwa KPK Pakistan:facility management officermanager technicalaccount officerfinance officermanager financemanager administration and manager procurementEducational qualifications required Master, Bachelor and MS etc.Science & Information Technology Department latest Government IT jobs and others can be applied till January 10, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Science & Information Technology Department job opportunities.For more jobsregisterwithJobz.pk."
Defence Housing Authority DHA Gujranwala Job 2026,Defence Housing Authority Dha,Gujranwala,Gujranwala Other Area Jobs,"Gujranwala, Punjab, Pakistan",Government,Full Time,Bachelor|BS,,Not Specified,,False,,,,2025-12-23,2026-01-15,23.0,December,2025,Tuesday,Ausaf Jobs,Upload CV,https://www.jobz.pk/defence-housing-authority-dha-gujranwala-job-2026_jobs-729111.html,"Latest Defence Housing Authority DHA IT Posts Gujranwala 2026Vacant posts including graphic designer are announced in Defence Housing Authority DHA Gujranwala, gujranwala Punjab Pakistan as per 23 December 2025 advertisement in daily Ausaf Newspaper. Persons with Bachelor etc. education can apply.Latest IT jobs and others Government jobs in Defence Housing Authority DHA closing date is around January 15, 2026, see exact from ad. Read complete ad online to know how to apply onlatest Defence Housing Authority DHA job opportunities.For more jobsregisterwithJobz.pk."
Dawn Sunday Classified Ads 21 Dec 2025 for IT Institute,Institute,Karachi,Zaman Town Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Bachelor,,Not Specified,,False,,,,2025-12-22,2026-01-06,15.0,December,2025,Monday,Dawn Jobs,Upload CV,https://www.jobz.pk/dawn-sunday-classified-ads-21-dec-2025-for-it-institute_jobs-728885.html,"Latest Institute IT Posts Karachi 2026Institute is looking for candidates for following posts as per job advertisement published in daily Dawn Newspaper of December 22, 2025 for location Zaman Town Karachi, karachi Sindh Pakistan:it instructor and computer instructorCandidates with Bachelor etc. educational background will be preferred.Institute latest Classifieds IT jobs and others can be applied till January 6, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Institute job opportunities.For more jobsregisterwithJobz.pk."
Ignite National Technology Fund Digital Pakistan Jobs 2026,Ministry Of Information Technology & Telecommunication Moit,Islamabad,G-9/4 Jobs,"Islamabad, Islamabad, Pakistan",Government,Full Time,Master,,Not Specified,,False,,,,2025-12-20,2025-12-31,11.0,December,2025,Saturday,The News Jobs,Upload CV,https://www.jobz.pk/ignite-national-technology-fund-digital-pakistan-jobs-2026_jobs-728268.html,"Latest Ministry of Information Technology & Telecommunication MOIT IT Posts Islamabad 2026Ministry of Information Technology & Telecommunication MOIT jobs advertisement dated about 20 December 2025 in daily The News Newspaper invites application for the vacant post of cloud program expert in G-9/4 Islamabad, islamabad Islamabad Pakistan. Preferred Education is Master etc.Latest Government jobs in Ministry of Information Technology & Telecommunication MOIT in IT and others can be applied till 31 December 2025 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Ministry of Information Technology & Telecommunication MOIT job opportunities.For more jobsregisterwithJobz.pk."
Punjab Information Technology Board PITB Lahore Job 2026,Punjab Information Technology Board Pitb,Lahore,Lahore Other Area Jobs,"Lahore, Punjab, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2025-12-19,2026-01-03,15.0,December,2025,Friday,Nawaiwaqt Jobs,Upload CV,https://www.jobz.pk/punjab-information-technology-board-pitb-lahore-job-2026_jobs-728195.html,"Latest Punjab Information Technology Board PITB IT Posts Lahore 2026Punjab Information Technology Board PITB Lahore, lahore Punjab Pakistan invites applications from eligible candidates for the post of chief data governance officer and project director as per advertisement of December 19, 2025 published in daily Nawaiwaqt Newspaper. Persons with Bachelor, Master and MS etc. education can apply.Punjab Information Technology Board PITB latest Government IT jobs and others can be applied till January 3, 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Punjab Information Technology Board PITB job opportunities.For more jobsregisterwithJobz.pk."
Graphic Designer intern unpaid,Jantrah Tech Private Limited,Islamabad,Ghauri Town Phase 5 Jobs,"Islamabad, Islamabad, Pakistan",Direct Office Jobs,Intern,Intermediate|Bachelor|BCS,0.0,Not Specified,,False,,,,2025-12-19,2026-04-19,,December,2025,Friday,Not Mentioned,Upload CV,https://www.jobz.pk/graphic-designer-intern-unpaid_jobs-728116.html,"Latest jantrah tech private limited IT Posts Islamabad 2026Jantrah Tech is inviting applications for a Graphic Design Intern to support our creative team this internship is a valuable chance to work on real client projects, enhance your skills, and gain practical industry exposure.Responsibilities:Design engaging visuals for marketing and social media platformsAssist the design team in day-to-day creative tasksExplore and practice new design techniques and toolsSupport branding and layout projects as neededWho We’re Looking For:Familiarity with Photoshop, Illustrator, Canva, or related softwareCreative mindset and attention to detailEager to learn and grow in a professional environmentQualification:Intermediate / GraduationA design course or prior experience is a plusWhat You’ll Gain:Real-world project experienceGuidance from senior designersCompletion certificate + recommendation letterOpportunity to build a professional portfolioFor more jobsregisterwithJobz.pk.Skills RequiredBanner DesignFlyer DesignGraphic DesignIllustratorLogo DesignPhotoshopPoster DesignTemplates"
AI Operator Jobs 2026 in Islamabad,It Company,Islamabad,Chak Shahzad Jobs,"Islamabad, Islamabad, Pakistan",Classifieds,Full Time,Bachelor,,Not Specified,,False,,,,2025-12-18,2025-12-21,3.0,December,2025,Thursday,The News Jobs,Upload CV,https://www.jobz.pk/ai-operator-jobs-2026-in-islamabad_jobs-728079.html,"Latest IT Company IT Posts Islamabad 2026IT Company Chak Shahzad Islamabad, islamabad Islamabad Pakistan invites applications from eligible candidates for the post of ai operator as per advertisement of December 18, 2025 published in daily The News Newspaper. Persons with Bachelor etc. education can apply.IT Company latest Classifieds IT jobs and others can be applied till 21 December 2025 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Learn today extra skills including Artificial Intelligence and AI Artificial Intelligence HW/SW to get these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredArtificial IntelligenceAI Artificial Intelligence HW"
Agha Noor Fashion Karachi Jobs 2026 for IT Officer,Agha Noor Clothing Store,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|DAE,,Not Specified,,False,,,,2025-12-16,2026-01-02,17.0,December,2025,Tuesday,Jang Jobs,Upload CV,https://www.jobz.pk/agha-noor-fashion-karachi-jobs-2026-for-it-officer_jobs-727694.html,"Latest Agha Noor Clothing Store IT Posts Karachi 2026Agha Noor Clothing Store is looking for candidates for following posts as per job advertisement published in daily Jang Newspaper of December 16, 2025 for location Karachi, karachi Sindh Pakistan:it officer and pos systems support officerCandidates with Bachelor, DAE and Intermediate etc. educational background will be preferred.Latest IT jobs and others Classifieds jobs in Agha Noor Clothing Store closing date is around January 2, 2026, see exact from ad. Read complete ad online to know how to apply onlatest Agha Noor Clothing Store job opportunities.For more jobsregisterwithJobz.pk."
Private Company Lahore Job Notice 2025,Private Company,Lahore,Lahore Other Area Jobs,"Lahore, Punjab, Pakistan",Private,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2025-12-14,2026-01-13,30.0,December,2025,Sunday,Jang Jobs,Upload CV,https://www.jobz.pk/private-company-lahore-job-notice-2025_jobs-727090.html,"Latest Private Company IT Posts Lahore 2026Private Company jobs advertisement dated about 14 December 2025 in daily Jang Newspaper invites application for the vacant post of graphic designer and male staff in Lahore, lahore Punjab Pakistan. Bachelor, MS and Master etc. educational qualification will be preferred.Private Company latest Private IT jobs and others can be applied till 13 January 2026 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
Ministry of Information and Broadcasting Islamabad Job 2025,Ministry Of Information And Broadcasting,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2025-12-12,2025-12-24,12.0,December,2025,Friday,Not Mentioned,Upload CV,https://www.jobz.pk/ministry-of-information-and-broadcasting-islamabad-job-2025_jobs-726735.html,"Latest Ministry of Information and Broadcasting IT Posts Islamabad 2026Ministry of Information and Broadcasting Islamabad, islamabad Islamabad Pakistan invites applications from eligible candidates for the post of head of data, head of marketing and head of strategy as per advertisement of December 12, 2025 published in daily Express Tribune Newspaper. Educational qualifications required Master, MS and Bachelor etc.Latest Government jobs in Ministry of Information and Broadcasting in IT and others can be applied till 24 December 2025 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Ministry of Information and Broadcasting job opportunities.For more jobsregisterwithJobz.pk."
Punjab Information Technology Board PITB Job Notice 2025,Punjab Information Technology Board Pitb,Lahore,Lahore Other Area Jobs,"Lahore, Punjab, Pakistan",Government,Full Time,Matric|Intermediate|Bachelor|Master|MS|BS,,Not Specified,,False,,,,2025-12-10,2025-12-25,15.0,December,2025,Wednesday,Nawaiwaqt Jobs,Upload CV,https://www.jobz.pk/punjab-information-technology-board-pitb-job-notice-2025_jobs-726414.html,"Latest Punjab Information Technology Board PITB IT Posts Lahore 2026Punjab Information Technology Board PITB Lahore, lahore Punjab Pakistan invites applications from eligible candidates for the post of geo special data analyst, software engineer, programme manager, front desk officer, data annotator, programme officer, cinematographer, uc administrator, principal software engineer, dba engineer, manager e commerce, xr unity developer, project director, business development officer, graphic designer, media associate, quality assurance engineer, domain specialist, associate research analyst, research analyst, data quality engineer, network system manager, system network administrator, inventory supervisor, assistant programme manager, mobile app developer, ai engineer, content creator, e commerce platform specialist, photographer, manager marketing outreach, associate software engineer, additional project director, ar projection designer, computer operator, program officer, assistant manager, electrician, data processing assistant, it analyst, software developer, android developer, assistant program officer, manager e commerce platform, greeting officer, network support, gis developer, ml engineer, project coordinator, it network associate, digital design specialist, business analyst, community engagement coordinator, technician, assistant programme officer, receptionist, gis analyst, motion app developer and data processing officer as per advertisement of December 10, 2025 published in daily Nawaiwaqt Newspaper. Educational qualifications required Matric, Intermediate, Master, Bachelor and MS etc.Latest IT jobs and others Government jobs in Punjab Information Technology Board PITB closing date is around December 25, 2025, see exact from ad. Read complete ad online to know how to apply onlatest Punjab Information Technology Board PITB job opportunities.For more jobsregisterwithJobz.pk."
SEO Expert,Ags,Islamabad,Bhara kahu Jobs,"Islamabad, Islamabad, Pakistan",Direct Office Jobs,Full Time,Intermediate|Bachelor|Master|Others,1.0,Not Specified,2.0,False,70000.0,100000.0,85000.0,2025-12-09,2026-04-09,,December,2025,Tuesday,Not Mentioned,Upload CV,https://www.jobz.pk/seo-expert_jobs-726352.html,"Latest AGS IT Posts Islamabad 2026We are seeking a skilled, proactive, and multi-talented SEO Expert to lead our digital growth initiatives. The ideal candidate will oversee our content and multimedia team, optimize website performance, execute SEO strategies, and guide social-media content creation including concepts and directions for video editors.KEY RESPONSIBILITIESSEO & Website Optimization:Perform on-page, off-page, and technical SEO to improve search engine rankings.Conduct keyword research, competitor analysis, and comprehensive site audits.Optimize website structure, metadata, landing pages, blogs, and user experience.Monitor website performance, SERP positions, and analytics using SEO tools.Maintain website health, security, loading speed, and regularly update plugins.Upload, format, and optimize content on WordPress.Content & Multimedia Team Management:Manage and guide content writers to produce high-quality, SEO-optimized content.Plan and get approval of monthly content calendars aligned with SEO goals and digital strategy.Review and approve written content before publication.Coordinate with video editors by providing concepts, scripts, and creative direction.Social Media & Video Coordination:Develop ideas for social-media-optimized videos and short-form content.Ensure all content aligns with SEO strategy, branding, and target audience.Stay updated on new social media trends and recommend engagement strategies.Reporting & General SEO Duties:Build quality backlinks and manage outreach campaigns.Prepare monthly SEO performance reports with improvement recommendations.Stay updated with Google algorithm changes and SEO best practices.Ensure timely task execution, progress tracking, and effective communication.WORK SCHEDULELocation: Bhara Kahu, Islamabad On-site positionJob Type: Full-Time Monday-SaturdaySalary: Competitive and based on skills and experience.For more jobsregisterwithJobz.pk.Skills RequiredMS OfficeSocial Media Post DesignSEOSocial Media MarketingFacebook AdsMedia RelationsSocial Video Marketing"
Jang Sunday Classified Ads 7 Dec 2025 for IT Staff,It Company,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Intermediate|Bachelor|Others|ICS,,Not Specified,,False,,,,2025-12-08,2025-12-23,15.0,December,2025,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/jang-sunday-classified-ads-7-dec-2025-for-it-staff_jobs-726205.html,"Latest IT Company IT Posts Karachi 2026IT Company invites applications for job positions advertised in daily Jang dated 8 December 2025 for following vacancies in Karachi, karachi Sindh Pakistan.video editor and graphic designerPreferred Education is Others, Bachelor and Intermediate etc.Latest Classifieds jobs in IT Company in IT and others can be applied till 23 December 2025 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest IT Company job opportunities. Learn today extra skills including Illustrator, YouTube and Photoshop to get these IT Company jobs.For more jobsregisterwithJobz.pk.Skills RequiredIllustratorPhotoshopYouTube"
Ministry of Information & Broadcasting Islamabad Jobs Notice,Ministry Of Information And Broadcasting,Islamabad,Islamabad Other Area Jobs,"Islamabad, Islamabad, Pakistan",Government,Full Time,Bachelor|Master|MS|BS,,Not Specified,,False,,,,2025-12-08,2025-12-21,13.0,December,2025,Monday,Not Mentioned,Upload CV,https://www.jobz.pk/ministry-of-information-broadcasting-islamabad-jobs-notice_jobs-726051.html,"Latest Ministry of Information and Broadcasting IT Posts Islamabad 2026Ministry of Information and Broadcasting Islamabad, islamabad Islamabad Pakistan invites applications from eligible candidates for the post of Search Engine Optimization Seo Specialist, Video Editor, Animator, Content Writer, Graphic Designer, Research Assistant and Digital Media Coordinator as per advertisement of December 8, 2025 published in daily Express Tribune Newspaper. Preferred Education is MS, Master and Bachelor etc.Ministry of Information and Broadcasting latest Government IT jobs and others can be applied till 21 December 2025 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Ministry of Information and Broadcasting job opportunities.For more jobsregisterwithJobz.pk."
Dawn Sunday Classified Ads 30 Nov 2025 Beacon Askari School,Beacon Askari School System,Karachi,Karachi Other Area Jobs,"Karachi, Sindh, Pakistan",Classifieds,Full Time,Bachelor|BCS|Others|BS,,Not Specified,,False,,,,2025-12-01,2025-12-16,15.0,December,2025,Monday,Dawn Jobs,Upload CV,https://www.jobz.pk/dawn-sunday-classified-ads-30-nov-2025-beacon-askari-school_jobs-724641.html,"Latest Beacon Askari School System IT Posts Karachi 2026Beacon Askari School System is looking for candidates for following posts as per job advertisement published in daily Dawn Newspaper of December 1, 2025 for location Karachi, karachi Sindh Pakistan:it incharge and graphic designerEducational qualifications required Others, Bachelor and BCS etc.Beacon Askari School System latest Classifieds IT jobs and others can be applied till December 16, 2025 or as per closing date in newspaper ad. Read complete ad online to know how to apply onlatest Beacon Askari School System job opportunities.For more jobsregisterwithJobz.pk."
Efficient IT Consulting Rawalpindi Jobs 2025,Private Company,Rawalpindi,Rawalpindi Other Area Jobs,"Rawalpindi, Punjab, Pakistan",Private,Full Time,Bachelor|BS,,Not Specified,,False,,,,2025-12-01,2025-12-31,30.0,December,2025,Monday,Jang Jobs,Upload CV,https://www.jobz.pk/efficient-it-consulting-rawalpindi-jobs-2025_jobs-724492.html,"Latest Private Company IT Posts Rawalpindi 2026Private Company invites applications for job positions advertised in daily Jang dated 1 December 2025 for following vacancies in Rawalpindi, rawalpindi Punjab Pakistan.it training programBachelor etc. educational qualification will be preferred.Latest IT jobs and others Private jobs in Private Company closing date is around December 31, 2025, see exact from ad. Read complete ad online to know how to apply onlatest Private Company job opportunities.For more jobsregisterwithJobz.pk."
